pathway	n_measured_genes	enriched_class	perc_signif_padj_0.05	ES_median	pval_median	padj_median	n_leading_edge_genes	leading_edge_genes
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1273	Cases	100.0	 0.3211944	7.768099e-07	1.148312e-04	275	ABRAXAS1,ACTR1A,ADAMTS15,ADAMTS16,ADAMTS18,ADAMTS19,ADAMTS4,ADAMTS8,ADAMTSL2,ADAMTSL5,ADRM1,AGBL5,ALG14,ALG2,ALG3,ALG9,ALPL,AMFR,ANKRD28,ARF1,ARF5,ARFGAP2,ARFGAP3,ASB13,ASB2,ASB5,ASB6,AXIN1,AXIN2,B3GNT5,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GAT1,BARD1,BECN1,CALU,CAMKMT,CBX4,CDH2,CFP,CHST10,CKAP4,COMMD5,COPE,COPG2,COPS3,COPS4,COPS6,COPZ2,CSF1,CYLD,DAG1,DAXX,DCAF4,DCTN6,DCUN1D3,DDA1,DDOST,DDX5,DNAJC3,DOLK,DPH2,DPH3,DYNC1LI1,EEF2KMT,EIF5A,ELOB,ELOC,F10,FBXL15,FBXL5,FBXO10,FBXO2,FBXO21,FBXO9,FBXW4,FBXW5,FBXW7,FCGR3B,FOXO4,FSTL3,FURIN,GALNT10,GALNT16,GCNT4,GPS1,H2AC19,H2BC11,H2BC4,HGS,HIC1,HLA-A,ICMT,IDE,IKBKG,JOSD1,JOSD2,KBTBD6,KCTD6,KEAP1,KLHL41,LARGE1,LRRC41,LYPD1,MAN1A2,MAP3K7,MCRS1,MFGE8,MYC,NANP,NAPA,NLRP3,NOD2,NOTUM,NPM1,NR1H2,NSMCE3,NTNG2,NUP153,NUP188,NUP62,NUP85,NUP88,NUP93,OTUB1,OTUD5,OTUD7A,OTUD7B,PAF1,PEX10,PEX5,PHC2,PIGB,PIGQ,PIGT,PIGW,POMGNT1,POMT2,PPP6C,PRMT3,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,QSOX1,RAB15,RAB17,RAB1B,RAB21,RAB23,RAB27B,RAB35,RAB40B,RAB43,RAB44,RAB4A,RAB4B,RAB5A,RAB5C,RABGGTB,RAD23A,RANBP2,RANGAP1,RARA,RBX1,RELA,RHOA,RING1,RIPK2,RNF139,RNF146,RNF181,RPN1,RPN2,RXRA,SAE1,SCMH1,SEC13,SEC24A,SEC24C,SEL1L,SELENOS,SENP1,SENP2,SERPINA1,SIAH2,SLC17A5,SMAD1,SMAD7,SMC5,SOCS6,SPON2,SPSB2,SPSB4,ST3GAL2,ST3GAL6,STAM,STC2,STX5,SUDS3,SUMO3,TADA3,TAF10,TAF9B,TBC1D20,TECTA,TFPT,TMED7,TMED9,TNFAIP3,TNIP2,TPGS1,TRAF3,TRAPPC1,TRAPPC10,TRAPPC6A,TTLL11,TTLL4,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBA2,UBA52,UBE2A,UBE2D2,UBE2F,UBE2J2,UBE2M,UBE2N,UBE2S,UBXN1,UFD1,UGGT1,USO1,USP11,USP12,USP2,USP22,USP28,USP3,USP47,USP5,USP7,VCP,VDR,VNN2,VNN3,YKT6,YOD1,ZBED1
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	 423	Cases	100.0	 0.3903376	1.548470e-06	1.929474e-04	138	ABCF2,ACACA,ACP1,ADAMTS1,ADAMTS9,AKT1S1,ALB,ARF4,ARF6,ARNT,ARPC5L,ARRB2,ATF4,ATF6,ATP6V0D1,ATP6V1E1,BCAR1,BCL2L1,BIN1,C15orf39,CALU,CCDC124,CCL2,CCN1,CCN2,CCT7,CDC42,CHAC1,CXCL8,CYP2C8,DHX36,DKK1,DLL4,DNAJA1,DNAJB4,DNAJB9,EIF2A,EIF3D,EIF3F,EIF4E,EIF4G1,ELOC,ENG,FADD,FHL2,FHOD1,FJX1,FLII,FOXO4,FXR2,GIPC1,GJA1,GRB2,HBD,HBEGF,HDAC5,HGS,HRAS,HSPA1A,HSPB1,IGFBP3,INPP5K,ITCH,ITGB1,KCNC3,KDR,LRRC59,MAP2K1,MAP2K2,MAP2K3,MAPK1,MAPKAP1,MAPKAPK2,MEF2C,MICAL2,MLST8,NAP1L1,NAPA,NCF1,NCK1,NCL,NEXN,NFATC1,NFKB1,NR4A1,NR4A3,OCRL,P4HB,PGF,PIK3R2,PLAU,PLAUR,PPM1G,PPP1CA,PPP2CA,PRKCB,PRKCD,PRKCZ,PRKRA,PSMD11,PSMD4,PTK2B,PTPN1,PTPN11,PTPN6,PTPRJ,QKI,RAB11A,RAB4A,RAB5A,RAC1,RAF1,RCAN1,RCAN2,RELA,RHOA,RHOC,RICTOR,RPL18A,RPS6KB1,SARS1,SDF2L1,SELE,SH2D2A,SHB,SHC2,SIAH2,SLC25A25,SLC7A1,SRF,STAM,STIP1,TBCA,TEAD4,TNFRSF10C,TPM3,TRAF3IP2,ZC3H15
KEGG_PROTEASOME	  42	Cases	100.0	 0.6746058	4.592077e-06	3.951440e-04	 24	PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSME3
REACTOME_HEMOSTASIS	 517	Cases	100.0	 0.3567147	2.360791e-05	1.452239e-03	131	ABHD12,ADRA2C,ATP1B1,ATP2B1,BCAR1,CABLES1,CABLES2,CALU,CD244,CD48,CD63,CD99L2,CDC37L1,CDC42,CDK5,CEACAM3,CTSW,DGKD,DGKG,DOCK5,EHD1,F10,F2R,F2RL2,FERMT3,FGR,GNA11,GNA13,GNA14,GNB2,GNG12,GNG5,HABP4,HBB,HBD,HBG2,HMG20B,HRAS,HSPA5,IGF2,IRF1,IRF2,ITGA2B,ITGAL,ITGAX,ITGB1,ITPK1,JAK2,JAML,KIF21A,KIF21B,KIF27,KIF4B,KIF5B,KLC2,KRAS,LCK,LEFTY2,LHFPL2,LRP8,LYN,MAFF,MAFG,MAFK,MANF,MAPK1,MPIG6B,NFE2,OLA1,ORAI2,P2RX5,PDE10A,PDGFA,PDPN,PF4,PICK1,PIK3R2,PIK3R6,PLAUR,PPBP,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PRKAR1B,PRKCB,PRKCD,PRKCZ,PTGIR,PTPN1,PTPN11,PTPN6,QSOX1,RAB27B,RAB5A,RAC1,RAC2,RAF1,RCOR1,RHOA,RHOG,SDC4,SELE,SELL,SERPINA1,SIRPA,SLC3A2,SLC7A11,SLC7A5,SLC8A3,SOD1,SPN,SRGN,STXBP2,TGFB2,TGFB3,THBD,TNFRSF10B,TREM1,TSPAN7,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,VAV3,WDR1,YWHAZ,ZFPM1
REACTOME_METABOLISM_OF_RNA	 657	Cases	100.0	 0.3393328	3.176646e-05	1.825906e-03	224	ADAT1,ALYREF,ANP32A,APOBEC3A,BOP1,BUD23,BUD31,BYSL,CD2BP2,CDC5L,CDK7,CLNS1A,CNOT11,CNOT6L,CNOT9,CPSF4,CSNK1D,CTNNBL1,CWC22,CWC25,DCP1A,DCPS,DDX20,DDX21,DDX23,DDX42,DDX49,DDX5,DHX16,DHX37,DHX38,DKC1,DNAJC8,EBNA1BP2,EDC3,EDC4,EFTUD2,EIF4A1,EIF4A2,EIF4E,EIF4G1,ELAC2,ELAVL1,ERCC2,ETF1,EXOSC1,EXOSC4,EXOSC9,FAU,FIP1L1,FTSJ1,FYTTD1,GAR1,GCFC2,GNL3,GPKOW,GSPT2,HNRNPA0,HNRNPA1,HNRNPF,HNRNPH2,HSPA1A,HSPB1,IGF2BP3,IMP4,ISG20L2,ISY1,LAGE3,LCMT2,LSM10,LSM2,LTV1,MAGOH,MAPKAPK2,NCL,NHP2,NIP7,NOC4L,NOL6,NOP14,NOP2,NOP56,NT5C3B,NUP153,NUP188,NUP50,NUP62,NUP85,NUP88,NUP93,NXT1,PARN,PES1,PHF5A,PNO1,PNRC2,POLR2B,POLR2C,POLR2I,POLR2L,POP4,POP7,PPP2CA,PQBP1,PRCC,PRKCD,PRPF19,PRPF6,PSMA1,PSMA2,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PUF60,PUS3,PUS7,PWP2,RAE1,RAN,RANBP2,RBM22,RBM8A,RIOK3,RNPS1,RPL13,RPL18A,RPL19,RPL26L1,RPL28,RPL36AL,RPL41,RPLP0,RPLP1,RPP25,RPP38,RPS10,RPS15,RPS16,RPS19,RPS23,RPS26,RPS9,RPSA,RRP1,RRP36,RRP9,RTCB,SARNP,SART1,SEC13,SENP3,SET,SF3B2,SF3B4,SLBP,SLU7,SMN1,SMNDC1,SNRNP27,SNRPA,SNRPA1,SNRPB,SNRPB2,SNRPC,SNRPD1,SNRPD2,SNU13,SNW1,SRSF10,SUGP1,SYF2,TBL3,TEX10,THG1L,THOC6,TP53RK,TRMT112,TRMT12,TRMT6,TRMT61A,TRMU,TSR1,TSR3,TXNL4A,TYW1,U2AF2,UBA52,USP39,UTP11,UTP15,UTP3,WBP11,WBP4,WDR43,WDR46,WTAP,YBX1,YWHAZ,ZMAT5,ZRSR2
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	 292	Cases	100.0	 0.3979342	3.418509e-05	1.937089e-03	118	ACTN2,AGO2,AREG,ARL2,ARRB2,ARTN,BCL2L1,BRAF,BRAP,BTC,CAMK2A,CAMK2B,CAMK2D,CDC42,CDC42EP2,CDC42EP3,CDC42EP5,CNKSR1,CSF2RB,CUL3,DAB2IP,DLG1,DLG2,DUSP1,DUSP10,DUSP16,DUSP4,DUSP8,EGF,FGF2,FGF6,FGF9,FLT3LG,GDNF,GRB2,HBEGF,HRAS,HSPB1,ICMT,IL2RB,IL2RG,IL3RA,IL6,IL6R,ITGA2B,JAK2,JAK3,KIT,KRAS,KSR2,LAT,MAP2K1,MAP2K2,MAPK1,MAPK3,MARK3,MYC,NCAM1,NRAS,NRG2,PDE6D,PDGFA,PIK3R2,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PPP5C,PSMA1,PSMA2,PSMA3,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PTPN11,RAC1,RAF1,RANBP9,RAPGEF2,RASA4,RASAL2,RASGEF1A,RASGRP4,RBX1,RGL2,SHC2,SPRED2,SPRED3,SPTBN2,TGFA,UBA52,WDR83,ZDHHC9
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	 221	Cases	100.0	 0.4188491	5.537878e-05	2.776699e-03	 64	ANAPC15,ANKLE2,CC2D1B,CDC26,CDC27,CENPN,CENPP,CHMP2A,CHMP2B,CHMP4B,CHMP6,CLIP1,DYNC1LI1,MAD1L1,MAPRE1,MIS12,NUDC,NUP188,NUP62,NUP85,NUP93,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RAN,RANBP2,RANGAP1,RCC1,SEC13,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBA52,UBE2S,VPS4A
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	 650	Cases	100.0	 0.3363090	5.606449e-05	2.821745e-03	157	ACTR1A,AKT1S1,ANAPC15,ARNT,ATF4,ATOX1,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1E1,ATP6V1E2,ATP6V1G1,ATP7A,BACH1,BAG1,BAG3,BAG5,CAMK2A,CAMK2B,CAMK2D,CARM1,CASTOR2,CBX4,CCNE1,CDC26,CDC27,CEBPG,CHAC1,CRTC1,CRYAB,CSNK2B,CXCL8,DCTN6,DEDD2,DNAJA1,DNAJA2,DNAJB6,DYNC1LI1,E2F1,E2F2,E2F3,EIF2AK1,ELOB,ELOC,ERO1A,ETS2,FAU,FNIP2,GSR,H1-0,H1-4,H2AC19,H2AJ,H2AX,H2BC11,H2BC4,HBA1,HBA2,HBB,HIRA,HMGA1,HSPA14,HSPA1A,HSPA1B,HSPA4,HSPA5,HSPA6,HSPB1,HSPB8,KEAP1,MAFK,MAP2K3,MAPK1,MAPKAPK2,MEF2C,MLST8,NCF1,NCF4,NFE2L2,NFKB1,NLRP3,NPAS2,NUP153,NUP188,NUP62,NUP85,NUP88,NUP93,P4HB,PHC2,PRKCD,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RAE1,RANBP2,RBX1,RELA,RING1,RPA3,RPL18A,RPL36AL,RPLP0,RPLP1,RPS10,RPS15,RPS16,RPS19,RPS19BP1,RPS23,RPS26,RPS9,RXRA,SCMH1,SCO2,SEC13,SH3BP4,SMARCD3,SOD1,STIP1,TBL1XR1,TERF2IP,TINF2,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B,TXNRD1,UBA52,UBE2D2,UBE2S,VCP
WP_PROTEASOME_DEGRADATION	  60	Cases	100.0	 0.5789733	6.059687e-05	2.972693e-03	 35	H2AX,HLA-A,PSMA1,PSMA2,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RPN1,RPN2,UBE2D2,UCHL1,UCHL3
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	   4	Cases	100.0	 0.9740109	1.061790e-04	4.712987e-03	  3	ABCA3,CSF2RB,SFTPD
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	 290	Cases	100.0	 0.3855491	1.352061e-04	5.687831e-03	 75	ADCY8,AKT1S1,BAD,CAMK2A,CAMK2B,CAMK2D,CBX4,CSNK2B,FGF6,FOXO4,GATAD2A,GRK2,GSK3A,HBEGF,HDAC5,IL1RAP,IL1RL1,IRAK1,KPNA2,LCK,MAPK1,MBD3,MKRN1,MLST8,MYD88,NRG2,PDE1C,PDGFA,PHC2,PHLPP2,PIP4K2A,PIP5K1A,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PRKAR1B,PRKCD,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PTPN11,RAC1,RAC2,RCOR1,RHOG,RICTOR,RING1,RNF146,SCMH1,STUB1,UBA52,USP7,WWP2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	 175	Cases	100.0	 0.4314330	1.377805e-04	5.772638e-03	 53	ACVR1,ACVR1B,ACVRL1,BMPR1A,CCL2,CCL5,CCR10,CCR7,CLCF1,CNTF,CSF1,CSF2RB,CSF3R,CXCL1,CXCL2,CXCL5,CXCL8,CXCR1,CXCR2,FLT3LG,IFNAR2,IL10RB,IL12RB1,IL12RB2,IL13RA1,IL15RA,IL18,IL18RAP,IL1B,IL1R1,IL1RAP,IL22RA1,IL2RB,IL4R,IL7R,INHBB,INHBE,KDR,LTB,PDGFA,PF4,PPBP,RELT,TGFB2,TGFB3,TNFRSF10B,TNFRSF10C,TNFRSF12A,TNFRSF13C,TNFRSF1A,TNFRSF1B,TNFSF14,TNFSF9
REACTOME_PROGRAMMED_CELL_DEATH	 200	Cases	100.0	 0.4167259	1.585588e-04	6.434433e-03	 54	AVEN,BAD,BCL2L1,CASP7,CHMP2A,CHMP2B,CHMP4B,CHMP6,DAPK3,E2F1,FADD,GZMB,H1-0,H1-4,IL18,IL1B,IRF1,KPNA1,MAPK1,NMT1,PRKCD,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,STUB1,TICAM1,TJP2,TNFRSF10B,TP53BP2,TP63,UBA52,YWHAH,YWHAQ,YWHAZ
WP_BONE_MORPHOGENIC_PROTEIN_BMP_SIGNALLING_AND_REGULATION	  12	Cases	100.0	 0.8259015	2.071824e-04	7.857785e-03	  3	BMPR1A,SMAD1,SMURF1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	 100	Cases	100.0	 0.4885452	2.106409e-04	7.901868e-03	 53	BID,BRAF,CASP3,CD244,CD247,CD48,FASLG,FCGR3A,FCGR3B,GRB2,GZMB,HLA-A,HRAS,IFNAR2,IFNGR1,ITGAL,ITGB2,KLRC1,KLRD1,KLRK1,KRAS,LAT,LCK,MAP2K1,MAP2K2,MAPK1,MAPK3,MICB,NFATC1,NRAS,PIK3CD,PIK3CG,PIK3R2,PIK3R5,PPP3CB,PPP3CC,PRF1,PRKCA,PRKCB,PTK2B,PTPN11,PTPN6,RAC1,RAC2,RAF1,SH2D1A,SH2D1B,SHC2,TNFRSF10A,TNFRSF10B,TNFRSF10C,VAV3,ZAP70
REACTOME_SIGNALING_BY_NOTCH	 218	Cases	100.0	 0.4031619	2.564649e-04	8.971049e-03	 57	ADAM17,APH1A,CCNC,CDK8,DLL4,DNER,E2F1,E2F3,ELF3,FBXW7,FURIN,GZMB,H2AC19,H2AJ,H2AX,H2BC11,HDAC5,HES1,HES5,HEY1,HEY2,IKZF1,MYC,PSENEN,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RBX1,SEL1L,SNW1,ST3GAL6,TBL1XR1,TLE3,UBA52,WWP2,YBX1,YWHAZ
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	 164	Cases	100.0	 0.4296481	2.682269e-04	9.213101e-03	 59	DAG1,EIF4G1,ELOB,ELOC,ETF1,FAU,GSPT2,HOXA2,MAGOH,PSMA1,PSMA2,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RBM8A,RBX1,RNPS1,RPL13,RPL18A,RPL19,RPL26L1,RPL28,RPL36AL,RPL41,RPLP0,RPLP1,RPS10,RPS15,RPS16,RPS19,RPS23,RPS26,RPS9,RPSA,UBA52
SA_MMP_CYTOKINE_CONNECTION	  15	Cases	100.0	 0.7805727	2.889440e-04	9.764915e-03	  8	CSF1,FCGR3A,IL1B,SELL,SPN,TGFB2,TNFRSF1A,TNFRSF1B
PID_NFAT_3PATHWAY	  52	Cases	100.0	 0.5729107	2.975281e-04	9.928099e-03	 25	BAD,BCL2L1,CASP3,CSNK1A1,FKBP8,GSK3B,KPNA2,MAP3K8,MAPK3,MEF2D,NFATC1,NR4A1,PIM1,PPP3CB,PRKCA,PRKCB,PRKCD,PRKCZ,RAN,RCAN1,RCAN2,YWHAG,YWHAH,YWHAQ,YWHAZ
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	 137	Cases	100.0	 0.4470223	2.961465e-04	9.998092e-03	 44	AXIN2,CAMK2A,CLTB,FZD8,GNB2,GNG5,KRAS,LEF1,MAP3K7,MYC,NFATC1,PARD6A,PLCB2,PRKCB,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RAC1,RAC2,RHOA,ROR2,SMURF1,TCF7,UBA52
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	 139	Cases	100.0	 0.4449498	3.036896e-04	1.005952e-02	 49	ADAM17,ALPL,BAD,CAMK2A,CASP3,CDC42,CDH2,CDK5,CDK5R1,CHUK,CRTC1,DOK5,EIF4E,GRB2,GRIP1,HRAS,IKBKG,JAK2,KCNA3,MAP2K1,MAP2K2,MAP2K5,MAPK1,MAPT,MEF2A,MEF2C,NCAM1,NCF1,NCK1,NFKB1,NGF,PIK3R2,PPP2CA,PRKCD,PTK2B,PTPN11,RAC1,RAF1,RANBP9,RELA,RHOG,RPS6KB1,SH2B2,SHC2,SIRPA,SORT1,SQSTM1,VAV3,YBX1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	 154	Cases	100.0	 0.4340011	3.072939e-04	1.016430e-02	 60	ADCY8,ARRB2,BCAR1,CCL2,CCL5,CCR1,CCR10,CCR7,CDC42,CHUK,CRKL,CXCL1,CXCL2,CXCL5,CXCL8,CXCR1,CXCR2,CXCR4,FGR,GNB2,GNB3,GNG12,GNG5,GRK2,GRK4,GRK6,GSK3A,HCK,HRAS,IKBKG,ITK,JAK2,JAK3,KRAS,LYN,MAP2K1,MAPK1,NCF1,NFKB1,NFKBIB,PARD3,PF4,PIK3R2,PIK3R5,PLCB2,PPBP,PREX1,PRKCB,PRKCD,PRKCZ,PTK2B,RAC1,RAC2,RAF1,RELA,RHOA,SHC2,TIAM2,VAV3,WAS
REACTOME_SIGNALING_BY_HEDGEHOG	 143	Cases	100.0	 0.4410702	3.333314e-04	1.058936e-02	 40	ADAM17,ADCY8,ERLEC1,GRK2,IQCE,NOTUM,PRKAR1B,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,RBX1,SEL1L,SMURF1,TUBA4A,TUBB1,TUBB2A,TUBB4A,TUBB4B,UBA52,VCP
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	  14	Cases	100.0	 0.7889156	3.375940e-04	1.087441e-02	  8	GJA1,GJB2,TUBA4A,TUBA8,TUBB1,TUBB2A,TUBB4A,TUBB4B
PID_TGFBR_PATHWAY	  54	Cases	100.0	 0.5628040	3.758362e-04	1.153008e-02	 22	ARRB2,AXIN1,BAMBI,CAMK2A,CCN2,DAXX,EIF2A,GRB2,ITCH,MAP3K7,PARD6A,PPP1CA,PPP2CA,PPP2CB,RHOA,RPS6KB1,SKIL,SMAD7,SMURF1,STRAP,TGFB2,TGFB3
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	 371	Cases	100.0	 0.3556691	4.175120e-04	1.239891e-02	116	ADAM17,AGTRAP,AKT1S1,APH1A,ARRB2,AXIN1,BAD,BCL2L1,BIN2,BRAP,CAMK2A,CAMK2B,CAMK2D,CCNC,CDK8,CHUK,CNKSR1,CPSF6,CTBP1,DKK1,DLL4,DUSP16,DUSP8,ERLEC1,FBXW7,FGF6,FIP1L1,FLT3LG,FOXO4,FXR1,FZD8,GSK3A,HBEGF,HDAC3,HDAC5,HES1,HES5,HEY1,HEY2,HRAS,ITGA2B,JAK2,KDR,KRAS,KSR2,LCK,LRRFIP1,LYN,MAP2K1,MAP2K2,MAPK1,MAPKAP1,MARK3,MLST8,MYC,NR4A1,NRG2,PDGFA,PIK3R2,PIM1,POLR2B,POLR2C,POLR2L,PORCN,PPP2CA,PPP2CB,PPP2R5A,PPP2R5B,PPP2R5D,PSEN2,PSENEN,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,PTPN11,QKI,RAC1,RAC2,RAF1,RBX1,RHOG,RICTOR,RPS6KB2,SEL1L,SNW1,SPRED2,SPRED3,STRN,TBL1XR1,TENT4A,UBA52,VCP
REACTOME_ABC_TRANSPORTER_DISORDERS	  70	Cases	100.0	 0.5212764	4.674447e-04	1.349630e-02	 29	ABCA3,ABCD1,ERLEC1,PSMA1,PSMA5,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD11,PSMD13,PSMD14,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSMD9,PSME3,SEL1L,UBA52,VCP
BIOCARTA_NFKB_PATHWAY	  20	Cases	100.0	 0.7168041	5.348601e-04	1.478954e-02	 12	CHUK,FADD,IKBKG,IL1R1,MAP3K14,MAP3K7,MYD88,NFKB1,RELA,TNFAIP3,TNFRSF1A,TNFRSF1B
WP_TNF_RELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING_PATHWAY	  42	Cases	100.0	 0.5850762	7.985610e-04	1.949729e-02	 22	CASP3,CASP7,CCL2,CCL5,CHUK,FADD,GSK3B,IKBKB,IL6,MAP3K14,MAP3K7,MAPK1,MAPK3,MMP9,NFKB1,NFKBIB,RAC1,RAF1,RELA,RELB,TNFRSF12A,TRAF3
WP_STRUCTURAL_PATHWAY_OF_INTERLEUKIN_1_IL1	  48	Cases	 99.6	 0.5597295	9.935204e-04	2.315080e-02	 21	CHUK,EIF4E,IL1R1,IL1RAP,IRAK1,IRF7,MAP2K1,MAP2K2,MAP2K3,MAP3K14,MAP3K3,MAP3K7,MAP3K8,MAPK1,MAPKAPK2,MYC,MYD88,NFKB1,NFKBIB,RELA,TANK
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	  63	Cases	 99.8	 0.5191376	1.100919e-03	2.506018e-02	 26	ADAM17,ATP6V0A2,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1E1,ATP6V1E2,ATP6V1G1,CASP3,CCL5,CDC42,CHUK,CXCL1,CXCL8,CXCR1,CXCR2,HBEGF,IKBKG,LYN,MAP3K14,NFKB1,PTPN11,RAC1,RELA
