ENSG	name	logFC	P.Value
ENSG00000156738	MS4A1	 5.95e-01	7.92e-02
ENSG00000011566	MAP4K3	 6.91e-02	7.92e-02
ENSG00000168564	CDKN2AIP	 7.52e-02	7.92e-02
ENSG00000101444	AHCY	 8.22e-02	7.92e-02
ENSG00000135424	ITGA7	 1.05e-01	7.93e-02
ENSG00000141582	CBX4	 1.64e-01	7.93e-02
ENSG00000187778	MCRS1	 8.37e-02	7.93e-02
ENSG00000163466	ARPC2	 1.05e-01	7.94e-02
ENSG00000140873	ADAMTS18	 6.65e-01	7.94e-02
ENSG00000177683	THAP5	 6.63e-02	7.95e-02
ENSG00000164188	RANBP3L	-3.47e-01	7.95e-02
ENSG00000103066	PLA2G15	 1.35e-01	7.96e-02
ENSG00000163904	SENP2	 6.72e-02	7.96e-02
ENSG00000171552	BCL2L1	 1.06e-01	7.96e-02
ENSG00000174839	DENND6A	-7.75e-02	7.97e-02
ENSG00000019582	CD74	-1.58e-01	7.98e-02
ENSG00000145476	CYP4V2	-3.33e-01	7.98e-02
ENSG00000162231	NXF1	-7.82e-02	7.98e-02
ENSG00000274070	GATSL2	 1.79e-01	7.98e-02
ENSG00000189269	DRICH1	 3.60e-01	7.98e-02
ENSG00000170469	SPATA24	 1.32e-01	7.99e-02
ENSG00000102445	KIAA0226L	 3.39e-01	7.99e-02
ENSG00000126903	SLC10A3	 8.65e-02	7.99e-02
ENSG00000154678	PDE1C	 1.94e-01	7.99e-02
ENSG00000189410	SH2D5	 4.86e-01	7.99e-02
ENSG00000106638	TBL2	 6.95e-02	8.00e-02
ENSG00000113555	PCDH12	-2.09e-01	8.01e-02
ENSG00000244274	DBNDD2	 9.02e-02	8.01e-02
ENSG00000136003	ISCU	-1.02e-01	8.02e-02
ENSG00000249158	PCDHA11	-3.19e-01	8.02e-02
ENSG00000105671	DDX49	 7.56e-02	8.02e-02
ENSG00000152661	GJA1	 1.83e-01	8.02e-02
ENSG00000172673	THEMIS	 3.10e-01	8.03e-02
ENSG00000218336	TENM3	 2.30e-01	8.03e-02
ENSG00000188229	TUBB4B	 1.40e-01	8.03e-02
ENSG00000160856	FCRL3	 4.66e-01	8.03e-02
ENSG00000119013	NDUFB3	-1.56e-01	8.03e-02
ENSG00000047578	KIAA0556	 9.46e-02	8.04e-02
ENSG00000196411	EPHB4	-1.25e-01	8.04e-02
ENSG00000143499	SMYD2	 1.23e-01	8.04e-02
ENSG00000181616	OR52H1	-2.55e-01	8.05e-02
ENSG00000140522	RLBP1	-4.88e-01	8.06e-02
ENSG00000139684	ESD	-6.50e-02	8.06e-02
ENSG00000131323	TRAF3	 1.59e-01	8.07e-02
ENSG00000164106	SCRG1	-6.03e-01	8.07e-02
ENSG00000076258	FMO4	 1.65e-01	8.07e-02
ENSG00000108528	SLC25A11	-1.67e-01	8.07e-02
ENSG00000197860	SGTB	-9.24e-02	8.08e-02
ENSG00000260916	CCPG1	 9.63e-02	8.08e-02
ENSG00000213995	NAXD	-1.09e-01	8.08e-02
ENSG00000136930	PSMB7	 7.25e-02	8.09e-02
ENSG00000094963	FMO2	-2.41e-01	8.10e-02
ENSG00000164675	IQUB	 2.32e-01	8.10e-02
ENSG00000215186	GOLGA6B	 6.06e-01	8.10e-02
ENSG00000180953	ST20	 2.04e-01	8.11e-02
ENSG00000174652	ZNF266	-1.35e-01	8.12e-02
ENSG00000003436	TFPI	-1.83e-01	8.12e-02
ENSG00000197608	ZNF841	-1.19e-01	8.14e-02
ENSG00000198795	ZNF521	-1.43e-01	8.14e-02
ENSG00000184489	PTP4A3	-1.73e-01	8.14e-02
ENSG00000078142	PIK3C3	-5.46e-02	8.14e-02
ENSG00000124635	HIST1H2BJ	 1.75e-01	8.15e-02
ENSG00000144455	SUMF1	-7.40e-02	8.15e-02
ENSG00000185803	SLC52A2	 1.21e-01	8.15e-02
ENSG00000100360	IFT27	-9.60e-02	8.15e-02
ENSG00000101898	RP3-324O17.4	-1.70e-01	8.16e-02
ENSG00000131400	NAPSA	-3.00e-01	8.17e-02
ENSG00000134308	YWHAQ	 9.34e-02	8.17e-02
ENSG00000136631	VPS45	-5.81e-02	8.18e-02
ENSG00000133606	MKRN1	 7.21e-02	8.18e-02
ENSG00000197016	ZNF470	-1.18e-01	8.19e-02
ENSG00000168575	SLC20A2	 1.16e-01	8.19e-02
ENSG00000146411	SLC2A12	-2.23e-01	8.19e-02
ENSG00000269693	CTD-2192J16.20	-1.19e-01	8.19e-02
ENSG00000164073	MFSD8	-7.03e-02	8.20e-02
ENSG00000121073	SLC35B1	 9.17e-02	8.20e-02
ENSG00000158156	XKR8	 1.22e-01	8.20e-02
ENSG00000161654	LSM12	 7.33e-02	8.21e-02
ENSG00000174021	GNG5	 1.64e-01	8.21e-02
ENSG00000127804	METTL16	 8.39e-02	8.21e-02
ENSG00000154222	CC2D1B	 6.37e-02	8.21e-02
ENSG00000142687	KIAA0319L	-5.68e-02	8.21e-02
ENSG00000089902	RCOR1	 5.49e-02	8.21e-02
ENSG00000120322	PCDHB8	-3.05e-01	8.21e-02
ENSG00000108506	INTS2	-8.25e-02	8.22e-02
ENSG00000096996	IL12RB1	 3.01e-01	8.22e-02
ENSG00000014164	ZC3H3	 1.20e-01	8.22e-02
ENSG00000167315	ACAA2	-1.57e-01	8.22e-02
ENSG00000121578	B4GALT4	 9.87e-02	8.23e-02
ENSG00000103035	PSMD7	 8.52e-02	8.23e-02
ENSG00000101940	WDR13	 6.75e-02	8.23e-02
ENSG00000089737	DDX24	 5.99e-02	8.23e-02
ENSG00000151834	GABRA2	-3.89e-01	8.24e-02
ENSG00000084623	EIF3I	 7.28e-02	8.26e-02
ENSG00000162613	FUBP1	 7.36e-02	8.26e-02
ENSG00000140538	NTRK3	-4.58e-01	8.26e-02
ENSG00000043093	DCUN1D1	-8.24e-02	8.27e-02
ENSG00000184988	TMEM106A	-1.19e-01	8.27e-02
ENSG00000168427	KLHL30	 1.55e-01	8.27e-02
ENSG00000169018	FEM1B	-5.74e-02	8.27e-02
ENSG00000178988	MRFAP1L1	 7.32e-02	8.28e-02
ENSG00000182534	MXRA7	 1.49e-01	8.28e-02
ENSG00000128652	HOXD3	-2.04e-01	8.28e-02
ENSG00000068912	ERLEC1	 8.23e-02	8.29e-02
ENSG00000163636	PSMD6	 6.31e-02	8.29e-02
ENSG00000183715	OPCML	-4.53e-01	8.29e-02
ENSG00000105173	CCNE1	 2.50e-01	8.29e-02
ENSG00000138829	FBN2	 5.27e-01	8.29e-02
ENSG00000254087	LYN	 1.71e-01	8.30e-02
ENSG00000122482	ZNF644	 5.04e-02	8.30e-02
ENSG00000164002	EXO5	 1.07e-01	8.32e-02
ENSG00000084463	WBP11	 5.14e-02	8.32e-02
ENSG00000225932	CTAGE4	-8.40e-01	8.32e-02
ENSG00000108830	RND2	-2.42e-01	8.33e-02
ENSG00000108679	LGALS3BP	-1.77e-01	8.34e-02
ENSG00000179165	PXT1	 2.48e-01	8.34e-02
ENSG00000133805	AMPD3	 3.67e-01	8.36e-02
ENSG00000121060	TRIM25	-1.16e-01	8.36e-02
ENSG00000153294	ADGRF4	-9.28e-01	8.36e-02
ENSG00000197217	ENTPD4	 6.03e-02	8.37e-02
ENSG00000185269	NOTUM	 3.20e-01	8.37e-02
ENSG00000259956	RBM15B	 6.50e-02	8.37e-02
ENSG00000064115	TM7SF3	-5.76e-02	8.38e-02
ENSG00000087250	MT3	-3.35e-01	8.38e-02
ENSG00000144134	RABL2A	-1.17e-01	8.38e-02
ENSG00000163902	RPN1	 6.92e-02	8.38e-02
ENSG00000086300	SNX10	 2.00e-01	8.39e-02
ENSG00000125962	ARMCX5	 9.64e-02	8.39e-02
ENSG00000167733	HSD11B1L	 1.44e-01	8.40e-02
ENSG00000173662	TAS1R1	-2.84e-01	8.40e-02
ENSG00000177854	TMEM187	-1.31e-01	8.40e-02
ENSG00000167674	CTB-50L17.10	 8.31e-02	8.41e-02
ENSG00000241404	EGFL8	-1.26e-01	8.41e-02
ENSG00000113732	ATP6V0E1	 8.35e-02	8.41e-02
ENSG00000156535	CD109	-2.45e-01	8.42e-02
ENSG00000151892	GFRA1	-1.67e-01	8.42e-02
ENSG00000165695	AK8	-3.13e-01	8.43e-02
ENSG00000160460	SPTBN4	-1.62e-01	8.43e-02
ENSG00000125351	UPF3B	-7.41e-02	8.44e-02
ENSG00000169860	P2RY1	-2.49e-01	8.44e-02
ENSG00000169122	FAM110B	 1.94e-01	8.45e-02
ENSG00000143355	LHX9	-3.44e-01	8.45e-02
ENSG00000144426	NBEAL1	-8.34e-02	8.45e-02
ENSG00000143420	ENSA	 7.23e-02	8.45e-02
ENSG00000111716	LDHB	-3.53e-01	8.45e-02
ENSG00000025156	HSF2	 1.11e-01	8.45e-02
ENSG00000115053	NCL	 5.86e-02	8.46e-02
ENSG00000151376	ME3	-9.96e-02	8.47e-02
ENSG00000133059	DSTYK	 8.17e-02	8.47e-02
ENSG00000164406	LEAP2	-1.65e-01	8.47e-02
ENSG00000099860	GADD45B	 2.59e-01	8.48e-02
ENSG00000100321	SYNGR1	-1.15e-01	8.48e-02
ENSG00000196372	ASB13	 9.39e-02	8.49e-02
ENSG00000175003	SLC22A1	 2.16e-01	8.50e-02
ENSG00000017483	SLC38A5	 2.90e-01	8.50e-02
ENSG00000070601	FRMPD1	-3.37e-01	8.51e-02
ENSG00000267680	ZNF224	-8.90e-02	8.51e-02
ENSG00000149922	TBX6	-2.10e-01	8.51e-02
ENSG00000178177	LCORL	 7.82e-02	8.52e-02
ENSG00000168264	IRF2BP2	-1.53e-01	8.52e-02
ENSG00000106245	BUD31	 7.66e-02	8.52e-02
ENSG00000137177	KIF13A	-7.25e-02	8.53e-02
ENSG00000214087	ARL16	 1.05e-01	8.53e-02
ENSG00000160396	HIPK4	 3.53e-01	8.53e-02
ENSG00000095627	TDRD1	-3.13e-01	8.54e-02
ENSG00000167785	ZNF558	-6.08e-02	8.55e-02
ENSG00000119139	TJP2	 1.27e-01	8.55e-02
ENSG00000130449	ZSWIM6	 1.09e-01	8.55e-02
ENSG00000168333	C8orf22	-4.22e-01	8.55e-02
ENSG00000178852	EFCAB13	-1.86e-01	8.55e-02
ENSG00000127528	KLF2	-2.33e-01	8.56e-02
ENSG00000143772	ITPKB	-1.05e-01	8.57e-02
ENSG00000164743	C8orf48	-2.54e-01	8.57e-02
ENSG00000167207	NOD2	 2.30e-01	8.57e-02
ENSG00000285162	RP5-1189D6.2	-6.08e-01	8.57e-02
ENSG00000068438	FTSJ1	 7.88e-02	8.57e-02
ENSG00000149781	FERMT3	 1.50e-01	8.58e-02
ENSG00000182168	UNC5C	-3.33e-01	8.58e-02
ENSG00000164764	SBSPON	-5.13e-01	8.58e-02
ENSG00000110925	CSRNP2	 7.68e-02	8.58e-02
ENSG00000136238	RAC1	 5.39e-02	8.59e-02
ENSG00000134262	AP4B1	-6.80e-02	8.60e-02
ENSG00000135454	B4GALNT1	 2.04e-01	8.60e-02
ENSG00000142875	PRKACB	-8.46e-02	8.60e-02
ENSG00000152377	SPOCK1	-2.37e-01	8.61e-02
ENSG00000110619	CARS	 7.62e-02	8.61e-02
ENSG00000126773	PCNX4	 8.71e-02	8.61e-02
ENSG00000185862	EVI2B	 2.62e-01	8.62e-02
ENSG00000184402	SS18L1	-7.77e-02	8.62e-02
ENSG00000182511	FES	-9.62e-02	8.63e-02
ENSG00000106511	MEOX2	-1.40e-01	8.63e-02
ENSG00000185437	SH3BGR	 1.26e-01	8.63e-02
ENSG00000182934	SRPRA	 6.91e-02	8.63e-02
ENSG00000077585	GPR137B	-1.47e-01	8.63e-02
ENSG00000214160	ALG3	 1.03e-01	8.63e-02
ENSG00000097021	ACOT7	 1.48e-01	8.64e-02
ENSG00000154269	ENPP3	-1.98e-01	8.64e-02
ENSG00000175782	SLC35E3	-7.47e-02	8.64e-02
ENSG00000138400	MDH1B	 1.86e-01	8.64e-02
ENSG00000136521	NDUFB5	-1.27e-01	8.64e-02
ENSG00000069122	ADGRF5	-1.31e-01	8.65e-02
ENSG00000125347	IRF1	 1.44e-01	8.65e-02
ENSG00000105738	SIPA1L3	 1.46e-01	8.65e-02
ENSG00000120063	GNA13	 5.98e-02	8.66e-02
ENSG00000177374	HIC1	 1.39e-01	8.66e-02
ENSG00000170881	RNF139	 6.09e-02	8.66e-02
ENSG00000188559	RALGAPA2	-1.01e-01	8.67e-02
ENSG00000103363	ELOB	 1.40e-01	8.67e-02
ENSG00000251369	ZNF550	-9.88e-02	8.67e-02
ENSG00000139910	NOVA1	-2.04e-01	8.67e-02
ENSG00000120693	SMAD9	 2.61e-01	8.67e-02
ENSG00000170545	SMAGP	-1.62e-01	8.68e-02
ENSG00000126218	F10	 2.48e-01	8.69e-02
ENSG00000189308	LIN54	 6.63e-02	8.69e-02
ENSG00000132623	ANKEF1	-1.71e-01	8.71e-02
ENSG00000158850	B4GALT3	 6.67e-02	8.71e-02
ENSG00000137841	PLCB2	 1.89e-01	8.71e-02
ENSG00000023330	ALAS1	-1.34e-01	8.72e-02
ENSG00000244242	IFITM10	 4.06e-01	8.72e-02
ENSG00000112763	BTN2A1	 7.80e-02	8.72e-02
ENSG00000115616	SLC9A2	-2.05e-01	8.72e-02
ENSG00000131015	ULBP2	-3.67e-01	8.73e-02
ENSG00000108666	C17orf75	-1.05e-01	8.73e-02
ENSG00000166326	TRIM44	 4.80e-02	8.73e-02
ENSG00000119655	NPC2	-9.96e-02	8.74e-02
ENSG00000169763	PRYP3	 7.18e-01	8.75e-02
ENSG00000270106	TSNAX-DISC1	 3.50e-01	8.76e-02
ENSG00000114279	FGF12	-1.66e-01	8.76e-02
ENSG00000179242	CDH4	 2.86e-01	8.76e-02
ENSG00000204209	DAXX	 5.75e-02	8.77e-02
ENSG00000150627	WDR17	-2.13e-01	8.77e-02
ENSG00000146828	SLC12A9	-9.59e-02	8.77e-02
ENSG00000057757	PITHD1	 6.59e-02	8.78e-02
ENSG00000163626	COX18	-7.93e-02	8.79e-02
ENSG00000010704	HFE	-1.02e-01	8.79e-02
ENSG00000118418	HMGN3	 8.83e-02	8.80e-02
ENSG00000109674	NEIL3	 4.32e-01	8.80e-02
ENSG00000131116	ZNF428	 7.82e-02	8.80e-02
ENSG00000196562	SULF2	 1.61e-01	8.80e-02
ENSG00000100387	RBX1	 5.88e-02	8.81e-02
ENSG00000135441	BLOC1S1	 8.05e-02	8.81e-02
ENSG00000163564	PYHIN1	 2.88e-01	8.82e-02
ENSG00000105662	CRTC1	 1.29e-01	8.82e-02
ENSG00000108039	XPNPEP1	 5.81e-02	8.83e-02
ENSG00000179256	SMCO3	-3.77e-01	8.83e-02
ENSG00000134153	EMC7	 8.72e-02	8.83e-02
ENSG00000179262	RAD23A	 1.10e-01	8.83e-02
ENSG00000114648	KLHL18	 9.68e-02	8.83e-02
ENSG00000121644	DESI2	-8.86e-02	8.83e-02
ENSG00000183255	PTTG1IP	 1.00e-01	8.84e-02
ENSG00000112186	CAP2	 9.80e-02	8.84e-02
ENSG00000121039	RDH10	 1.10e-01	8.85e-02
ENSG00000214595	EML6	 1.90e-01	8.85e-02
ENSG00000169180	XPO6	 6.68e-02	8.86e-02
ENSG00000205744	DENND1C	 2.18e-01	8.87e-02
ENSG00000253251	CTC-534A2.2	 1.17e-01	8.87e-02
ENSG00000168490	PHYHIP	-3.62e-01	8.87e-02
ENSG00000179855	GIPC3	 2.39e-01	8.89e-02
ENSG00000139289	PHLDA1	 2.47e-01	8.89e-02
ENSG00000068078	FGFR3	-3.27e-01	8.90e-02
ENSG00000115594	IL1R1	 1.50e-01	8.90e-02
ENSG00000148411	NACC2	 1.04e-01	8.91e-02
ENSG00000055211	GINM1	 6.60e-02	8.91e-02
ENSG00000066455	GOLGA5	 6.24e-02	8.91e-02
ENSG00000148337	CIZ1	 7.13e-02	8.92e-02
ENSG00000198695	MT-ND6	-1.82e-01	8.93e-02
ENSG00000135423	GLS2	-3.40e-01	8.93e-02
ENSG00000150433	TMEM218	-9.44e-02	8.93e-02
ENSG00000179909	ZNF154	-2.21e-01	8.93e-02
ENSG00000174010	KLHL15	 7.75e-02	8.93e-02
ENSG00000114346	ECT2	 1.25e-01	8.94e-02
ENSG00000168040	FADD	 8.62e-02	8.95e-02
ENSG00000186265	BTLA	 3.34e-01	8.96e-02
ENSG00000165322	ARHGAP12	-5.81e-02	8.96e-02
ENSG00000167720	SRR	 1.52e-01	8.96e-02
ENSG00000174776	WDR49	 1.94e-01	8.96e-02
ENSG00000027869	SH2D2A	 2.35e-01	8.96e-02
ENSG00000177354	C10orf71	 1.58e-01	8.97e-02
ENSG00000133597	ADCK2	 1.15e-01	8.97e-02
ENSG00000164366	CCDC127	 7.10e-02	8.98e-02
ENSG00000167965	MLST8	 1.09e-01	8.99e-02
ENSG00000284931	CTD-2643I7.4	 8.78e-01	9.00e-02
ENSG00000157368	IL34	-1.76e-01	9.00e-02
ENSG00000197798	FAM118B	 1.35e-01	9.00e-02
ENSG00000126460	PRRG2	 1.99e-01	9.00e-02
ENSG00000174227	PIGG	-1.03e-01	9.01e-02
ENSG00000157916	RER1	 4.48e-02	9.01e-02
ENSG00000138623	SEMA7A	 1.85e-01	9.02e-02
ENSG00000174429	ABRA	 2.94e-01	9.02e-02
ENSG00000183723	CMTM4	 9.79e-02	9.03e-02
ENSG00000168079	SCARA5	-2.01e-01	9.03e-02
ENSG00000111707	SUDS3	 6.85e-02	9.03e-02
ENSG00000090266	NDUFB2	-1.14e-01	9.03e-02
ENSG00000183134	PTGDR2	-4.18e-01	9.04e-02
ENSG00000066697	MSANTD3	 9.62e-02	9.04e-02
ENSG00000197302	ZNF720	-8.69e-02	9.04e-02
ENSG00000165807	PPP1R36	 3.18e-01	9.04e-02
ENSG00000170906	NDUFA3	-1.45e-01	9.04e-02
ENSG00000111647	UHRF1BP1L	 1.32e-01	9.05e-02
ENSG00000113282	CLINT1	 5.72e-02	9.05e-02
ENSG00000145685	LHFPL2	 1.47e-01	9.05e-02
ENSG00000153006	SREK1IP1	-6.90e-02	9.06e-02
ENSG00000064489	BORCS8-MEF2B	 1.73e-01	9.06e-02
ENSG00000008130	NADK	 7.88e-02	9.06e-02
ENSG00000134717	BTF3L4	 5.47e-02	9.07e-02
ENSG00000185946	RNPC3	-9.70e-02	9.08e-02
ENSG00000163029	SMC6	-6.78e-02	9.09e-02
ENSG00000171388	APLN	 3.28e-01	9.09e-02
ENSG00000083093	PALB2	-6.69e-02	9.10e-02
ENSG00000064703	DDX20	 7.80e-02	9.11e-02
ENSG00000188266	AGPHD1	-7.45e-02	9.11e-02
ENSG00000172058	SERF1A	-5.28e-01	9.12e-02
ENSG00000198855	FICD	 1.12e-01	9.13e-02
ENSG00000165637	VDAC2	-1.03e-01	9.13e-02
ENSG00000104142	VPS18	 6.05e-02	9.13e-02
ENSG00000171492	LRRC8D	-9.67e-02	9.13e-02
ENSG00000145723	GIN1	-9.22e-02	9.13e-02
ENSG00000145365	TIFA	-2.08e-01	9.14e-02
ENSG00000189058	APOD	-2.22e-01	9.15e-02
ENSG00000170703	TTLL6	-4.53e-01	9.15e-02
ENSG00000117614	SYF2	 7.34e-02	9.15e-02
ENSG00000158411	MITD1	-7.26e-02	9.16e-02
ENSG00000114770	ABCC5	-1.73e-01	9.16e-02
ENSG00000187800	PEAR1	-1.65e-01	9.16e-02
ENSG00000164615	CAMLG	 7.90e-02	9.16e-02
ENSG00000001617	SEMA3F	 1.28e-01	9.16e-02
ENSG00000148296	SURF6	 1.07e-01	9.17e-02
ENSG00000133392	MYH11	-5.12e-01	9.17e-02
ENSG00000197238	HIST1H4J	-3.40e-01	9.18e-02
ENSG00000111203	ITFG2	-1.01e-01	9.19e-02
ENSG00000175084	DES	 9.01e-02	9.19e-02
ENSG00000155256	ZFYVE27	 6.97e-02	9.19e-02
ENSG00000118298	CA14	-5.19e-01	9.20e-02
ENSG00000088320	REM1	-1.81e-01	9.20e-02
ENSG00000107669	ATE1	 7.65e-02	9.20e-02
ENSG00000111729	CLEC4A	 1.84e-01	9.21e-02
ENSG00000062524	LTK	-6.89e-01	9.21e-02
ENSG00000162980	ARL5A	 9.16e-02	9.21e-02
ENSG00000142046	TMEM91	-1.27e-01	9.21e-02
ENSG00000108179	PPIF	-2.08e-01	9.22e-02
ENSG00000272414	FAM47E-STBD1	 1.17e-01	9.22e-02
ENSG00000068305	MEF2A	 6.62e-02	9.22e-02
ENSG00000198799	LRIG2	-8.56e-02	9.22e-02
ENSG00000182798	MAGEB17	 4.15e-01	9.22e-02
ENSG00000160214	RRP1	 8.15e-02	9.23e-02
ENSG00000100030	MAPK1	 9.01e-02	9.23e-02
ENSG00000144451	SPAG16	 1.18e-01	9.24e-02
ENSG00000160886	LY6K	-3.77e-01	9.25e-02
ENSG00000013275	PSMC4	 7.78e-02	9.25e-02
ENSG00000268043	NBPF12	-2.42e-01	9.25e-02
ENSG00000182621	PLCB1	-1.03e-01	9.26e-02
ENSG00000127666	TICAM1	 1.37e-01	9.26e-02
ENSG00000185344	ATP6V0A2	 9.13e-02	9.26e-02
ENSG00000184304	PRKD1	-1.56e-01	9.26e-02
ENSG00000256053	APOPT1	 1.34e-01	9.26e-02
ENSG00000137726	FXYD6	-1.32e-01	9.28e-02
ENSG00000112562	SMOC2	 2.11e-01	9.28e-02
ENSG00000117016	RIMS3	-2.19e-01	9.30e-02
ENSG00000173264	GPR137	 1.27e-01	9.30e-02
ENSG00000139131	YARS2	-7.89e-02	9.31e-02
ENSG00000156976	EIF4A2	 7.87e-02	9.31e-02
ENSG00000114480	GBE1	 1.80e-01	9.31e-02
ENSG00000163453	IGFBP7	-1.74e-01	9.31e-02
ENSG00000101977	MCF2	 5.28e-01	9.31e-02
ENSG00000144644	GADL1	-2.47e-01	9.32e-02
ENSG00000068654	POLR1A	-1.05e-01	9.32e-02
ENSG00000250312	ZNF718	-1.83e-01	9.32e-02
ENSG00000064313	TAF2	-4.58e-02	9.33e-02
ENSG00000023697	DERA	-1.03e-01	9.33e-02
ENSG00000131467	PSME3	 6.66e-02	9.33e-02
ENSG00000115459	ELMOD3	-8.41e-02	9.34e-02
ENSG00000132600	PRMT7	-1.14e-01	9.34e-02
ENSG00000156475	PPP2R2B	-3.48e-01	9.35e-02
ENSG00000119737	GPR75	 1.77e-01	9.35e-02
ENSG00000096968	JAK2	 1.30e-01	9.35e-02
ENSG00000182742	HOXB4	-1.43e-01	9.36e-02
ENSG00000132436	FIGNL1	-8.93e-02	9.36e-02
ENSG00000154832	CXXC1	-6.95e-02	9.36e-02
ENSG00000128272	ATF4	 1.04e-01	9.36e-02
ENSG00000179532	DNHD1	-1.27e-01	9.36e-02
ENSG00000151923	TIAL1	-6.50e-02	9.36e-02
ENSG00000110696	C11orf58	 4.78e-02	9.37e-02
ENSG00000163541	SUCLG1	-1.33e-01	9.37e-02
ENSG00000092148	HECTD1	-5.39e-02	9.37e-02
ENSG00000198399	ITSN2	 6.19e-02	9.38e-02
ENSG00000180448	HMHA1	 1.81e-01	9.38e-02
ENSG00000197712	FAM114A1	-1.45e-01	9.38e-02
ENSG00000205138	SDHAF1	 1.06e-01	9.39e-02
ENSG00000130725	UBE2M	 8.43e-02	9.39e-02
ENSG00000168306	ACOX2	-2.33e-01	9.39e-02
ENSG00000276966	HIST1H4E	-1.39e-01	9.40e-02
ENSG00000065833	ME1	 1.45e-01	9.40e-02
ENSG00000181885	CLDN7	-3.40e-01	9.40e-02
ENSG00000116852	KIF21B	 1.64e-01	9.41e-02
ENSG00000146731	CCT6A	 6.60e-02	9.41e-02
ENSG00000152465	NMT2	 8.92e-02	9.41e-02
ENSG00000104881	PPP1R13L	 1.89e-01	9.41e-02
ENSG00000197557	TTC30A	 1.33e-01	9.42e-02
ENSG00000164171	ITGA2	-2.50e-01	9.42e-02
ENSG00000239713	APOBEC3G	-1.60e-01	9.44e-02
ENSG00000275778	PRH1-PRR4	 1.90e-01	9.44e-02
ENSG00000138085	ATRAID	-9.01e-02	9.44e-02
ENSG00000071794	HLTF	-1.11e-01	9.45e-02
ENSG00000189129	PLAC9	-2.14e-01	9.46e-02
ENSG00000146576	C7orf26	 6.06e-02	9.46e-02
ENSG00000196368	NUDT11	-2.98e-01	9.47e-02
ENSG00000186432	KPNA4	 6.83e-02	9.48e-02
ENSG00000099864	PALM	 1.43e-01	9.48e-02
ENSG00000162702	ZNF281	 8.02e-02	9.48e-02
ENSG00000168175	MAPK1IP1L	 6.14e-02	9.48e-02
ENSG00000177692	DNAJC28	-1.56e-01	9.49e-02
ENSG00000119402	FBXW2	-4.73e-02	9.49e-02
ENSG00000135926	TMBIM1	 8.26e-02	9.49e-02
ENSG00000128591	FLNC	 1.66e-01	9.50e-02
ENSG00000197586	ENTPD6	 6.74e-02	9.51e-02
ENSG00000240563	L1TD1	 4.08e-01	9.51e-02
ENSG00000198246	SLC29A3	-1.42e-01	9.51e-02
ENSG00000269720	CTD-2521M24.13	-3.71e-01	9.51e-02
ENSG00000101307	SIRPB1	 4.21e-01	9.52e-02
ENSG00000175213	ZNF408	 8.93e-02	9.52e-02
ENSG00000198874	TYW1	 1.44e-01	9.53e-02
ENSG00000184481	FOXO4	 1.22e-01	9.55e-02
ENSG00000157600	TMEM164	-1.21e-01	9.56e-02
ENSG00000198298	ZNF485	-9.90e-02	9.56e-02
ENSG00000164509	IL31RA	 4.10e-01	9.57e-02
ENSG00000243749	TMEM35B	-1.49e-01	9.57e-02
ENSG00000170909	OSCAR	 3.16e-01	9.57e-02
ENSG00000237515	SHISA9	 2.41e-01	9.58e-02
ENSG00000185947	ZNF267	 7.76e-02	9.58e-02
ENSG00000149150	SLC43A1	-1.81e-01	9.58e-02
ENSG00000036530	CYP46A1	-1.45e-01	9.59e-02
ENSG00000159256	MORC3	-7.08e-02	9.60e-02
ENSG00000150764	DIXDC1	-1.08e-01	9.60e-02
ENSG00000137563	GGH	 1.77e-01	9.61e-02
ENSG00000136274	NACAD	-2.09e-01	9.61e-02
ENSG00000240303	ACAD11	-1.19e-01	9.61e-02
ENSG00000049656	CLPTM1L	 5.64e-02	9.61e-02
ENSG00000258315	C17orf49	 7.14e-02	9.62e-02
ENSG00000157978	LDLRAP1	 8.16e-02	9.62e-02
ENSG00000099785	MARCH2	 9.68e-02	9.62e-02
ENSG00000166501	PRKCB	 2.44e-01	9.63e-02
ENSG00000183087	GAS6	-1.06e-01	9.63e-02
ENSG00000214140	PRCD	-1.61e-01	9.63e-02
ENSG00000107554	DNMBP	-7.51e-02	9.63e-02
ENSG00000117640	MTFR1L	-1.23e-01	9.63e-02
ENSG00000187607	ZNF286A	-1.25e-01	9.64e-02
ENSG00000177294	FBXO39	 5.08e-01	9.65e-02
ENSG00000164125	FAM198B	-1.48e-01	9.66e-02
ENSG00000145734	BDP1	-6.17e-02	9.66e-02
ENSG00000151116	UEVLD	 8.42e-02	9.66e-02
ENSG00000176531	PHLDB3	 1.46e-01	9.66e-02
ENSG00000114982	KANSL3	-5.59e-02	9.67e-02
ENSG00000021776	AQR	-5.75e-02	9.67e-02
ENSG00000132376	INPP5K	 6.46e-02	9.67e-02
ENSG00000154582	ELOC	 9.02e-02	9.68e-02
ENSG00000147679	UTP23	-5.13e-02	9.68e-02
ENSG00000107938	EDRF1	-5.60e-02	9.69e-02
ENSG00000148468	FAM171A1	 1.91e-01	9.69e-02
ENSG00000135241	PNPLA8	 8.34e-02	9.69e-02
ENSG00000154146	NRGN	 2.91e-01	9.70e-02
ENSG00000104979	C19orf53	 7.82e-02	9.70e-02
ENSG00000108819	PPP1R9B	 8.70e-02	9.70e-02
ENSG00000144895	EIF2A	 6.02e-02	9.72e-02
ENSG00000258984	UBE2F-SCLY	 5.97e-01	9.72e-02
